TAGGABLE_TYPE,TAGGABLE_ID,ATTRIBUTE_TAG,VALUE_TAG
Lemma,22,ANIMACY,nonconc
Lemma,1312,ANIMACY,nonconc
Lemma,648,ANIMACY,nonconc
Lemma,168,ANIMACY,nonconc
Lemma,461,ANIMACY,nonconc
Lemma,3303,ANIMACY,nonconc
Lemma,3453,ANIMACY,nonconc
Lemma,1102,ANIMACY,nonconc
Lemma,284,ANIMACY,nonconc
Lemma,3157,ANIMACY,nonconc
Lemma,52917,ANIMACY,nonconc
Lemma,798,ANIMACY,nonconc
Lemma,972,ANIMACY,nonconc
Lemma,968,ANIMACY,nonconc
Lemma,907,ANIMACY,nonconc
Lemma,4712,ANIMACY,org
Lemma,634,ANIMACY,org
Lemma,2243,ANIMACY,org
Lemma,56737,ANIMACY,org
Lemma,2400,ANIMACY,org
Lemma,1243,ANIMACY,org
Lemma,52024,ANIMACY,place
Lemma,2626,ANIMACY,place
Lemma,540,ANIMACY,place
Lemma,628,ANIMACY,place
Lemma,53527,ANIMACY,place
Lemma,4713,ANIMACY,place
Lemma,2219,ANIMACY,place
Lemma,3910,ANIMACY,place
Lemma,53541,ANIMACY,place
Lemma,4172,ANIMACY,place
Lemma,3924,ANIMACY,place
Lemma,4701,ANIMACY,place
Lemma,53573,ANIMACY,place
Lemma,2681,ANIMACY,place
Lemma,706,ANIMACY,place
Lemma,92,ANIMACY,place
Lemma,52514,ANIMACY,place
Lemma,771,ANIMACY,place
Lemma,539,ANIMACY,place
Lemma,2796,ANIMACY,place
Lemma,1861,ANIMACY,place
Lemma,3201,ANIMACY,place
Lemma,2470,ANIMACY,place
Lemma,25,ANIMACY,place
Lemma,3041,ANIMACY,place
Lemma,56324,ANIMACY,place
Lemma,2563,ANIMACY,place
Lemma,56,ANIMACY,time
Lemma,281,ANIMACY,time
Lemma,214,ANIMACY,time
Lemma,709,ANIMACY,time
Lemma,924,ANIMACY,time
Lemma,3965,ANIMACY,veh
Lemma,3014,ANIMACY,veh
Lemma,658,ANIMACY,place
Lemma,1183,ANIMACY,human
Lemma,1442,ANIMACY,human
Lemma,1604,ANIMACY,human
Lemma,2366,ANIMACY,human
Lemma,2367,ANIMACY,human
Lemma,2408,ANIMACY,human
Lemma,2590,ANIMACY,human
Lemma,2600,ANIMACY,place
Lemma,3643,ANIMACY,human
Lemma,3737,ANIMACY,place
Lemma,3904,ANIMACY,human
Lemma,3908,ANIMACY,place
Lemma,3915,ANIMACY,place
Lemma,3969,ANIMACY,human
Lemma,4059,ANIMACY,human
Lemma,4067,ANIMACY,place
Lemma,4073,ANIMACY,human
Lemma,4082,ANIMACY,place
Lemma,4213,ANIMACY,human
Lemma,4289,ANIMACY,place
Lemma,4446,ANIMACY,human
Lemma,4710,ANIMACY,human
Lemma,4714,ANIMACY,human
Lemma,4731,ANIMACY,place
Lemma,4740,ANIMACY,human
Lemma,4772,ANIMACY,place
Lemma,4804,ANIMACY,human
Lemma,4805,ANIMACY,human
Lemma,4833,ANIMACY,place
Lemma,4842,ANIMACY,human
Lemma,4849,ANIMACY,human
Lemma,51987,ANIMACY,human
Lemma,51990,ANIMACY,human
Lemma,52003,ANIMACY,place
Lemma,52042,ANIMACY,place
Lemma,52048,ANIMACY,human
Lemma,52053,ANIMACY,human
Lemma,52083,ANIMACY,place
Lemma,52084,ANIMACY,place
Lemma,52087,ANIMACY,place
Lemma,52247,ANIMACY,human
Lemma,52248,ANIMACY,human
Lemma,52254,ANIMACY,place
Lemma,52255,ANIMACY,place
Lemma,52286,ANIMACY,place
Lemma,52320,ANIMACY,human
Lemma,52377,ANIMACY,place
Lemma,52381,ANIMACY,human
Lemma,52439,ANIMACY,place
Lemma,52441,ANIMACY,place
Lemma,52503,ANIMACY,human
Lemma,52504,ANIMACY,human
Lemma,52505,ANIMACY,human
Lemma,52515,ANIMACY,human
Lemma,52520,ANIMACY,human
Lemma,52549,ANIMACY,human
Lemma,52613,ANIMACY,human
Lemma,52614,ANIMACY,human
Lemma,52899,ANIMACY,place
Lemma,52941,ANIMACY,human
Lemma,53640,ANIMACY,human
Lemma,56065,ANIMACY,human
Lemma,56066,ANIMACY,human
Lemma,56068,ANIMACY,place
Lemma,56071,ANIMACY,human
Lemma,56072,ANIMACY,human
Lemma,56204,ANIMACY,human
Lemma,56315,ANIMACY,place
Lemma,56461,ANIMACY,human
Lemma,56495,ANIMACY,place
Lemma,56500,ANIMACY,human
Lemma,56568,ANIMACY,human
Lemma,56779,ANIMACY,human
Lemma,56786,ANIMACY,place
Lemma,56790,ANIMACY,human
Lemma,56841,ANIMACY,human
Lemma,56842,ANIMACY,human
Lemma,56843,ANIMACY,human
Lemma,56844,ANIMACY,human
Lemma,56845,ANIMACY,human
Lemma,56846,ANIMACY,human
Lemma,56847,ANIMACY,human
Lemma,56848,ANIMACY,human
Lemma,56849,ANIMACY,human
Lemma,56850,ANIMACY,human
Lemma,56851,ANIMACY,human
Lemma,56852,ANIMACY,human
Lemma,56853,ANIMACY,human
Lemma,56854,ANIMACY,human
Lemma,56855,ANIMACY,human
Lemma,56856,ANIMACY,human
Lemma,56857,ANIMACY,human
Lemma,56858,ANIMACY,human
Lemma,56859,ANIMACY,human
Lemma,56860,ANIMACY,human
Lemma,56861,ANIMACY,human
Lemma,56862,ANIMACY,human
Lemma,56863,ANIMACY,human
Lemma,56864,ANIMACY,human
Lemma,56865,ANIMACY,human
Lemma,56866,ANIMACY,human
Lemma,56867,ANIMACY,human
Lemma,56869,ANIMACY,human
Lemma,56870,ANIMACY,human
Lemma,56871,ANIMACY,human
Lemma,56872,ANIMACY,human
Lemma,56873,ANIMACY,human
Lemma,56874,ANIMACY,human
Lemma,56875,ANIMACY,human
Lemma,56876,ANIMACY,human
Lemma,56877,ANIMACY,human
Lemma,56878,ANIMACY,human
Lemma,56879,ANIMACY,human
Lemma,56880,ANIMACY,human
