ID,HEAD_ID,RELATION_TAG,INFORMATION_STATUS_TAG,ANTECEDENT_ID,ANTECEDENT_HEAD_ID,ANTECEDENT_RELATION_TAG
102629,,,acc_inf,102545,,
102636,,,new,,,
102637,,,old,102627,,
102639,,,info_unannotatable,,,
102640,,,acc_sit,102610,,
102646,,,non_spec,,,
102649,,,non_spec,,,
102654,,,acc_gen,,,
102660,,,old,,102644,sub
102662,,,new,,,
102663,,,old,102660,,
102668,,,old,,102666,sub
102670,,,old,102668,,
102672,,,info_unannotatable,,,
102673,,,acc_sit,102647,,
102677,,,new,102636,,
102678,,,old,,102674,sub
102680,,,non_spec,,,
102686,,,acc_sit,102621,,
102689,,,old,102686,,
102691,,,new,,,
102700,,,new,,,
102701,,,old,,102698,sub
102709,,,new,,,
102712,,,old,102663,,
102714,,,info_unannotatable,,,
102717,,,acc_gen,,,
102718,,,info_unannotatable,,,
102719,,,kind,,,
102723,,,old,,102703,sub
102725,,,old,102723,,
102731,,,old,102700,,
102732,,,old,,102729,sub
102735,,,info_unannotatable,,,
102737,,,new,,,
102738,,,old,,102734,sub
102767,,,info_unannotatable,,,
102769,,,acc_gen,,,
102772,,,info_unannotatable,,,
102774,,,old,,765205,sub
102776,,,info_unannotatable,,,
102777,,,old,,102765,sub
102781,,,old,102774,,
102786,,,new,,,
102789,,,info_unannotatable,,,
102791,,,info_unannotatable,,,
102793,,,acc_inf,,,
102797,,,old,102786,,
102800,,,old,,102796,sub
102805,,,old,102800,,
102810,,,old,102805,,
102811,,,info_unannotatable,,,
102813,,,new,,,
102814,,,old,,102804,sub
102818,,,quant,,,
102820,,,quant,,,
102823,,,old,102810,,
102826,,,new,,,
102827,,,old,102823,,
102834,,,old,102827,,
102836,,,new,,,
102838,,,acc_gen,,,
102868,,,old,,762927,sub
102870,,,old,,762915,sub
102873,,,info_unannotatable,,,
102876,,,kind,,,
102877,,,non_spec,,,
102881,,,kind,,,
102886,,,kind,,,
102888,,,kind,,,
102893,,,new,,,
102894,,,acc_gen,,,
102897,,,old,102838,,
102904,,,old,,102884,sub
102908,,,new,102893,,
102909,,,acc_gen,102894,,
102912,,,new,,,
102914,,,acc_gen,102897,,
102919,,,info_unannotatable,,,
102920,,,acc_inf,,,
102926,,,old,,102903,sub
102928,,,old,102904,,
102933,,,kind,,,
102935,,,info_unannotatable,,,
102939,,,acc_inf,102933,,
102941,,,old,102933,,
102946,,,info_unannotatable,,,
102949,,,old,102939,,
102950,,,info_unannotatable,,,
102951,,,old,,102947,sub
102959,,,new,,,
102962,,,info_unannotatable,,,
102963,,,old,,102954,sub
102965,,,old,102949,,
102971,,,info_unannotatable,,,
102973,,,acc_inf,102959,,
102975,,,non_spec,,,
102976,,,non_spec,,,
102977,,,non_spec,,,
102980,,,info_unannotatable,,,
102981,,,non_spec,,,
102990,,,non_spec_old,102976,,
102991,,,info_unannotatable,,,
102992,,,non_spec_old,102981,,
102994,,,info_unannotatable,,,
102996,,,info_unannotatable,,,
103000,,,non_spec_inf,102981,,
103004,,,non_spec,,,
103006,,,non_spec,,,
103008,,,info_unannotatable,,,
103009,,,non_spec,,,
103018,,,non_spec_old,103006,,
103020,,,non_spec_old,103009,,
103024,,,non_spec_old,103018,,
103028,,,non_spec_old,103020,,
103032,,,old,102928,,
103035,,,new,,,
103036,,,info_unannotatable,,,
103037,,,info_unannotatable,,,
103039,,,acc_inf,,,
103043,,,old,102920,,
103044,,,old,103032,,
103046,,,new,,,
103050,,,acc_inf,103039,,
103054,,,old,102897,,
103056,,,old,103044,,
103059,,,info_unannotatable,,,
103062,,,acc_sit,103035,,
103065,,,acc_gen,,,
103069,,,old,103054,,
103073,,,non_spec,,,
103074,,,new,,,
103075,,,acc_gen,,,
103078,,,info_unannotatable,,,
103082,,,old,,103079,sub
103085,,,new,,,
103086,,,old,103082,,
103090,,,info_unannotatable,,,
103092,,,new,,,
103094,,,acc_gen,,,
103096,,,acc_gen,,,
103100,,,acc_inf,103092,,
103102,,,info_unannotatable,,,
103109,,,info_unannotatable,,,
103112,,,acc_inf,103092,,
103119,,,old,,103115,sub
103120,,,old,103085,,
103124,,,old,103069,,
103127,,,kind,,,
103130,,,kind,,,
103135,,,old,103130,,
103138,,,old,103127,,
103144,,,old,,103068,sub
103146,,,info_unannotatable,,,
103149,,,old,103138,,
103154,,,info_unannotatable,,,
103155,,,new,,,
103160,,,new,,,
103164,,,acc_inf,103160,,
103168,,,old,,103152,sub
103172,,,kind,,,
103174,,,old,103160,,
103178,,,old,,103173,sub
103183,,,old,103174,,
103187,,,old,103164,,
103188,,,info_unannotatable,,,
103191,,,info_unannotatable,,,
103193,,,info_unannotatable,,,
103197,,,old,,103177,sub
103201,,,kind,103172,,
103202,,,non_spec,,,
103207,,,non_spec,,,
103212,,,old,103197,,
103218,,,old,103212,,
103220,,,new,,,
103223,,,info_unannotatable,,,
103225,,,new,,,
103227,,,new,,,
103228,,,old,103218,,
103232,,,old,,103190,sub
103236,,,acc_inf,,103234,sub
103244,,,old,,103239,obj
103245,,,old,,103239,sub
103250,,,acc_inf,103228,,
103254,,,acc_gen,,,
103255,,,new,,,
103257,,,info_unannotatable,,,
103258,,,old,,103230,sub
103260,,,old,103258,,
103265,,,old,103260,,
103268,,,new,,,
103269,,,old,103265,,
103271,,,info_unannotatable,,,
103273,,,acc_gen,,,
103277,,,new,,,
103280,,,acc_gen,,,
103284,,,acc_gen,,,
103289,,,acc_gen,,,
103293,,,acc_gen,,,
103297,,,acc_gen,,,
103300,,,acc_gen,,,
103302,,,acc_gen,,,
103304,,,new,,,
103309,,,new,,,
103311,,,info_unannotatable,,,
103312,,,old,,103309,sub
103317,,,old,103268,,
103318,,,old,,103315,sub
103320,,,new,,,
103322,,,old,103318,,
103325,,,old,103304,,
103330,,,old,103322,,
103332,,,quant,103325,,
103338,,,old,,103334,sub
103341,,,old,103338,,
103345,,,quant,,103337,sub
103346,,,non_spec,,,
103350,,,non_spec_inf,103346,,
